country_name,gdp_debt,population
Lesotho,41.74%,"2,125,268"
Thailand,41.58%,"69,625,582"
Burkina Faso,41.34%,"20,321,378"
Switzerland,41.10%,"8,591,365"
Australia,41.05%,"25,203,198"
Swaziland,40.97%,"1,148,130"
Tanzania,40.72%,"58,005,463"
Liberia,39.12%,"4,937,374"
Romania,38.96%,"19,364,557"
Algeria,38.42%,"43,053,054"
Bosnia and Herzegovina,38.38%,"3,301,000"
South Korea,38.27%,"51,225,308"
Madagascar,38.02%,"26,969,307"
Dominican Republic,37.87%,"10,738,958"
Guinea-Bissau,37.59%,"1,920,922"
Panama,36.97%,"4,246,439"
Norway,36.66%,"5,378,857"
Mali,36.58%,"19,658,031"
Philippines,36.28%,"108,116,615"
Cambodia,36.19%,"16,486,542"
Denmark,35.06%,"5,771,876"
Iceland,34.88%,"339,031"
Myanmar,34.87%,"54,045,420"
Nicaragua,34.58%,"6,545,502"
Sweden,34.45%,"10,036,379"
Haiti,34.27%,"11,263,077"
Cameroon,34.06%,"25,876,380"
Turkmenistan,33.62%,"5,942,089"
Bangladesh,33.36%,"163,046,161"
Kiribati,32.88%,"117,606"
Kuwait,32.42%,"4,207,083"
Latvia,31.92%,"1,906,743"
Taiwan,31.83%,"23,773,876"
Tuvalu,31.49%,"11,646"
Lithuania,31.41%,"2,759,627"
Czech Republic,31.29%,"10,689,209"
Papua New Guinea,30.67%,"8,776,109"
Indonesia,30.25%,"270,625,568"
Djibouti,29.33%,"973,560"
Nepal,28.83%,"28,608,710"
Comoros,28.48%,"850,886"
Peru,28.01%,"32,510,453"
Turkey,27.86%,"83,429,615"
Nigeria,27.37%,"200,963,599"
Paraguay,26.06%,"7,044,636"
Guatemala,24.64%,"17,581,472"
Chile,24.62%,"18,952,038"
Saudi Arabia,23.83%,"34,268,528"
Marshall Islands,23.25%,"58,791"
Kazakhstan,23.14%,"18,551,427"
Bulgaria,22.86%,"7,000,119"
Luxembourg,22.80%,"615,729"
New Zealand,22.69%,"4,783,063"
Uzbekistan,20.65%,"32,981,716"
Micronesia,20.55%,"113,815"
Russia,19.48%,"145,872,256"
United Arab Emirates,19.35%,"9,770,529"
Solomon Islands,16.41%,"669,823"
DR Congo,13.31%,"86,790,567"
Botswana,12.84%,"2,303,697"
Estonia,8.12%,"1,325,648"
Afghanistan,6.32%,"38,041,754"
Brunei,2.46%,"433,285"
